iter	Passed	Remaining
425	2027	2732
426	2032	2726
427	2036	2721
428	2041	2716
429	2045	2711
430	2050	2707
431	2055	2702
432	2059	2697
433	2064	2692
434	2069	2688
435	2074	2683
436	2079	2678
437	2084	2675
438	2089	2670
439	2094	2666
440	2099	2661
441	2104	2657
442	2109	2651
443	2113	2647
444	2118	2642
445	2123	2637
446	2127	2632
447	2132	2627
448	2137	2622
449	2141	2617
450	2146	2612
451	2151	2608
452	2156	2603
453	2160	2598
454	2165	2594
455	2170	2589
456	2176	2585
457	2181	2581
458	2185	2576
459	2190	2571
460	2196	2568
461	2201	2563
462	2206	2559
463	2211	2554
464	2215	2549
465	2220	2544
466	2224	2538
467	2229	2534
468	2234	2530
469	2239	2524
470	2243	2520
471	2248	2515
472	2252	2509
473	2257	2504
474	2262	2500
475	2267	2495
476	2271	2491
477	2277	2486
478	2282	2482
479	2287	2478
480	2292	2473
481	2296	2468
482	2301	2463
483	2306	2458
484	2310	2453
485	2315	2448
486	2320	2444
487	2325	2439
488	2330	2435
489	2335	2430
490	2340	2426
491	2345	2421
492	2350	2416
493	2354	2412
494	2360	2407
495	2365	2403
496	2370	2399
497	2376	2395
498	2380	2390
499	2385	2385
500	2390	2380
501	2394	2375
502	2399	2370
503	2404	2365
504	2408	2361
505	2413	2356
506	2418	2351
507	2422	2346
508	2427	2341
509	2432	2337
510	2437	2332
511	2441	2326
512	2445	2321
513	2450	2316
514	2454	2311
515	2459	2306
516	2464	2302
517	2468	2297
518	2473	2292
519	2478	2287
520	2482	2282
521	2487	2277
522	2492	2272
523	2497	2268
524	2501	2263
525	2506	2258
526	2511	2254
527	2516	2249
528	2521	2245
529	2526	2240
530	2530	2235
531	2535	2230
532	2540	2226
533	2545	2221
534	2550	2217
535	2555	2212
536	2560	2207
537	2565	2202
538	2570	2198
539	2575	2193
540	2579	2188
541	2584	2183
542	2589	2179
543	2593	2174
544	2598	2169
545	2603	2164
546	2607	2159
547	2613	2155
548	2618	2150
549	2622	2146
550	2627	2141
551	2631	2135
552	2636	2131
553	2641	2126
554	2645	2121
555	2650	2116
556	2655	2112
557	2660	2107
558	2664	2102
559	2670	2098
560	2675	2093
561	2680	2089
562	2686	2084
563	2691	2080
564	2695	2075
565	2701	2071
566	2705	2066
567	2710	2061
568	2716	2057
569	2720	2052
570	2725	2047
571	2730	2042
572	2734	2037
573	2738	2032
574	2743	2027
575	2748	2022
576	2752	2018
577	2758	2014
578	2763	2009
579	2768	2004
580	2772	1999
581	2777	1995
582	2782	1990
583	2787	1985
584	2792	1980
585	2797	1976
586	2801	1971
587	2806	1966
588	2811	1961
589	2815	1956
590	2820	1951
591	2825	1947
592	2829	1941
593	2833	1936
594	2838	1931
595	2843	1927
596	2848	1922
597	2853	1918
598	2858	1913
599	2863	1908
600	2868	1904
601	2873	1899
602	2878	1895
603	2882	1890
604	2888	1885
605	2892	1880
606	2897	1875
607	2902	1871
608	2907	1866
609	2912	1862
610	2917	1857
611	2922	1852
612	2926	1847
613	2930	1842
614	2936	1838
615	2940	1833
616	2945	1828
617	2951	1824
618	2955	1819
619	2960	1814
620	2966	1810
621	2970	1805
622	2975	1800
623	2980	1795
624	2985	1791
625	2990	1786
626	2994	1781
627	2999	1777
628	3004	1772
629	3009	1767
630	3014	1762
631	3019	1758
632	3024	1753
633	3029	1748
634	3034	1744
635	3039	1739
636	3044	1734
637	3049	1730
638	3054	1725
639	3058	1720
640	3063	1715
641	3068	1710
642	3072	1705
643	3077	1701
644	3081	1696
645	3086	1691
646	3090	1686
647	3096	1682
648	3102	1677
649	3108	1673
650	3113	1669
651	3118	1664
652	3124	1660
653	3129	1655
654	3134	1650
655	3140	1646
656	3144	1641
657	3149	1637
658	3155	1632
659	3160	1628
660	3165	1623
661	3171	1619
662	3176	1614
663	3181	1609
664	3186	1605
665	3191	1600
666	3196	1596
667	3201	1591
668	3206	1586
669	3210	1581
670	3215	1576
671	3220	1571
672	3224	1566
673	3229	1562
674	3234	1557
675	3239	1552
676	3243	1547
677	3247	1542
678	3251	1536
679	3254	1531
680	3258	1526
681	3262	1521
682	3266	1516
683	3269	1510
684	3273	1505
685	3277	1500
686	3281	1495
687	3285	1489
688	3289	1484
689	3292	1479
690	3296	1474
691	3300	1468
692	3303	1463
693	3307	1458
694	3310	1452
695	3314	1447
696	3318	1442
697	3321	1437
698	3325	1431
699	3330	1427
700	3333	1421
701	3337	1416
702	3340	1411
703	3344	1406
704	3348	1401
705	3351	1395
706	3355	1390
707	3359	1385
708	3362	1380
709	3366	1375
710	3370	1369
711	3374	1364
712	3378	1359
713	3381	1354
714	3385	1349
715	3394	1346
716	3397	1341
717	3401	1335
718	3404	1330
719	3408	1325
720	3412	1320
721	3416	1315
722	3419	1310
723	3423	1305
724	3427	1299
725	3430	1294
726	3434	1289
727	3438	1284
728	3442	1279
729	3445	1274
730	3449	1269
731	3452	1264
732	3456	1259
733	3460	1254
734	3463	1248
735	3467	1243
736	3471	1238
737	3474	1233
738	3478	1228
739	3482	1223
740	3485	1218
741	3490	1213
742	3493	1208
743	3497	1203
744	3501	1198
745	3505	1193
746	3508	1188
747	3512	1183
748	3516	1178
749	3520	1173
750	3524	1168
751	3527	1163
752	3531	1158
753	3535	1153
754	3541	1149
755	3545	1144
756	3549	1139
757	3553	1134
758	3556	1129
759	3559	1124
760	3563	1119
761	3567	1114
762	3571	1109
763	3574	1104
764	3578	1099
765	3583	1094
766	3587	1089
767	3591	1085
768	3596	1080
769	3600	1075
770	3603	1070
771	3607	1065
772	3611	1060
773	3615	1055
774	3619	1050
775	3623	1046
776	3628	1041
777	3631	1036
778	3635	1031
779	3638	1026
780	3642	1021
781	3646	1016
782	3651	1011
783	3655	1007
784	3660	1002
785	3665	997
786	3669	993
787	3672	988
788	3677	983
789	3680	978
790	3684	973
791	3688	968
792	3692	963
793	3696	958
794	3699	954
795	3703	949
796	3707	944
797	3711	939
798	3714	934
799	3718	929
800	3722	924
801	3726	919
802	3729	915
803	3733	910
804	3736	905
805	3740	900
806	3743	895
807	3747	890
808	3750	885
809	3755	880
810	3759	876
811	3762	871
812	3766	866
813	3771	861
814	3775	856
815	3779	852
816	3783	847
817	3787	842
818	3791	837
819	3795	833
820	3799	828
821	3804	823
822	3808	818
823	3812	814
824	3816	809
825	3820	804
826	3824	799
827	3828	795
828	3832	790
829	3836	785
830	3840	780
831	3843	776
832	3847	771
833	3851	766
834	3855	761
835	3858	757
836	3862	752
837	3866	747
838	3870	742
839	3874	737
840	3878	733
841	3882	728
842	3886	723
843	3890	719
844	3894	714
845	3898	709
846	3902	704
847	3906	700
848	3911	695
849	3914	690
850	3918	686
851	3922	681
852	3926	676
853	3930	671
854	3933	667
855	3937	662
856	3940	657
857	3945	652
858	3949	648
859	3953	643
860	3957	638
861	3961	634
862	3965	629
863	3968	624
864	3972	620
865	3976	615
866	3980	610
867	3983	605
868	3988	601
869	3992	596
870	3995	591
871	3999	587
872	4003	582
873	4007	577
874	4011	573
875	4014	568
876	4018	563
877	4022	558
878	4026	554
879	4029	549
880	4033	544
881	4037	540
882	4042	535
883	4045	530
884	4049	526
885	4053	521
886	4057	516
887	4061	512
888	4065	507
889	4070	503
890	4074	498
891	4078	493
892	4082	489
893	4087	484
894	4091	480
895	4096	475
896	4100	470
897	4106	466
898	4110	461
899	4114	457
900	4119	452
901	4123	447
902	4127	443
903	4131	438
904	4136	434
905	4140	429
906	4144	424
907	4149	420
908	4153	415
909	4157	411
910	4161	406
911	4165	401
912	4170	397
913	4174	392
914	4178	388
915	4183	383
916	4186	378
917	4190	374
918	4194	369
919	4198	365
920	4202	360
921	4206	355
922	4210	351
923	4214	346
924	4218	342
925	4222	337
926	4226	332
927	4231	328
928	4235	323
929	4238	319
930	4242	314
931	4247	309
932	4251	305
933	4254	300
934	4258	296
935	4262	291
936	4266	286
937	4270	282
938	4275	277
939	4279	273
940	4283	268
941	4287	263
942	4291	259
943	4295	254
944	4299	250
945	4303	245
946	4308	241
947	4312	236
948	4316	231
949	4321	227
950	4325	222
951	4329	218
952	4333	213
953	4336	209
954	4341	204
955	4344	199
956	4348	195
957	4352	190
958	4356	186
959	4360	181
960	4364	177
961	4382	173
962	4386	168
963	4390	163
964	4393	159
965	4397	154
966	4401	150
967	4404	145
968	4408	141
969	4412	136
970	4416	131
971	4419	127
972	4423	122
973	4426	118
974	4430	113
975	4434	109
976	4437	104
977	4441	99
978	4444	95
979	4448	90
980	4452	86
981	4455	81
982	4459	77
983	4463	72
984	4466	68
985	4470	63
986	4473	58
987	4477	54
988	4481	49
989	4485	45
990	4489	40
991	4492	36
992	4496	31
993	4500	27
994	4503	22
995	4507	18
996	4511	13
997	4515	9
998	4519	4
999	4522	0
