iter	Logloss
0	0.6485602232
1	0.6053612064
2	0.5657164036
3	0.5324641807
4	0.4977028906
5	0.4621482886
6	0.4353509839
7	0.4101977172
8	0.3917908904
9	0.3708924045
10	0.3537421817
11	0.3376320977
12	0.3233728079
13	0.310597316
14	0.2982117037
15	0.2865271423
16	0.2693986035
17	0.2600906037
18	0.2500962653
19	0.2399129396
20	0.2333264638
21	0.2225239643
22	0.2140527864
23	0.2082625634
24	0.201690723
25	0.1952868314
26	0.1900831708
27	0.185206979
28	0.1794150977
29	0.1760164774
30	0.1713453332
31	0.167497804
32	0.1610925204
33	0.1576508671
34	0.1549043545
35	0.1496594864
36	0.1467996171
37	0.1448287402
38	0.142376771
39	0.1402296565
40	0.1375308206
41	0.1351672088
42	0.1324542241
43	0.1290121556
44	0.1263278575
45	0.1231126102
46	0.1203992594
47	0.1182648029
48	0.116105367
49	0.1138757838
50	0.1116282532
51	0.1104195425
52	0.1085042745
53	0.1073687503
54	0.1060656839
55	0.1044337751
56	0.1027845524
57	0.1017093958
58	0.09985839349
59	0.0984650436
60	0.09785583162
61	0.09695620863
62	0.0958749239
63	0.09505371512
64	0.09387122677
65	0.09317376716
66	0.09226635645
67	0.09172008105
68	0.09141411888
69	0.0904678154
70	0.08965942834
71	0.08877532012
72	0.08765920398
73	0.08658039906
74	0.08567729238
75	0.08531347991
76	0.08465952895
77	0.08355105854
78	0.0829164416
79	0.08266726571
80	0.08197643745
81	0.08164951382
82	0.08121196224
83	0.08049360493
84	0.07993598425
85	0.07951718748
86	0.07909165795
87	0.07869223188
88	0.07828958086
89	0.07797930432
90	0.07768882852
91	0.07726331766
92	0.07680009932
93	0.07607049555
94	0.0753734904
95	0.07485419368
96	0.07429376913
97	0.07388939917
98	0.07352670172
99	0.07320335504
100	0.07287964785
101	0.07250022976
102	0.07169272176
103	0.07134682492
104	0.0709005375
105	0.07056238125
106	0.07027475799
107	0.07002710143
108	0.0698506122
109	0.06957325086
110	0.06915278407
111	0.06884989151
112	0.06853102744
113	0.06821657504
114	0.06791416461
115	0.06780924537
116	0.06760393772
117	0.06739622634
118	0.06714979342
119	0.06698903331
120	0.06673271806
121	0.06627792913
122	0.06599989239
123	0.06580723079
124	0.06540871975
125	0.06521331657
126	0.06483606475
127	0.06439880157
128	0.06419788659
129	0.06393933368
130	0.06357249232
